Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID90,90,0,2130.215,75.989,5.859,0,0.000,0,0.250,1,-10921639,5205.162,4318,1361,11427,192591,2785.876,0.441,0.487,1.224
ID91,91,1,2154.740,57.861,6.226,0,0.000,0,0.250,1,-10921639,5342.838,4686,1515,11395,197685,2634.849,0.441,0.466,1.290
ID92,92,None,1505.956,50.903,14.648,0,0.000,0,0.250,1,-10921639,4495.838,4715,1102,7562,166346,1747.940,0.442,0.393,1.450
ID93,93,2,4567.565,53.742,14.740,0,0.000,0,0.250,1,-10921639,13194.405,13782,6642,18539,488193,3722.482,0.443,0.431,2.135
ID80,80,2,2465.213,53.559,14.832,0,0.300,1,0.250,1,-10921639,7809.081,7081,2007,17429,288936,3834.868,0.200,0.316,0.978
ID81,81,None,1945.652,25.360,17.304,0,0.300,1,0.250,1,-10921639,3898.838,2832,357,14115,144257,3294.796,0.200,0.650,0.933
ID82,82,None,1516.700,13.367,19.043,0,0.300,1,0.250,1,-10921639,3267.216,2565,621,9348,120887,2294.376,0.200,0.560,1.022
ID76,76,0,1559.514,75.897,5.768,0,0.300,1,0.250,1,-10921639,4531.865,4244,958,10417,167679,2344.876,0.200,0.354,1.010
ID77,77,1,2380.272,57.678,6.226,0,0.300,1,0.250,1,-10921639,6179.378,5471,2395,12736,228637,2930.564,0.442,0.478,1.364
ID78,78,None,1765.309,15.289,7.416,0,0.300,1,0.250,1,-10921639,3346.676,1833,501,13118,123827,3252.722,0.200,0.707,0.852
ID79,79,3,1778.794,67.291,14.099,0,0.300,1,0.250,1,-10921639,3744.919,3026,479,9470,138562,2438.425,0.200,0.583,1.132
ID84,84,2,2451.735,52.918,14.648,0,0.600,2,0.250,1,-10921639,7611.270,6928,2737,15454,281617,3324.652,0.200,0.332,1.142
ID85,85,3,1647.259,68.390,17.853,0,0.600,2,0.250,1,-10921639,3317.216,2756,701,8199,122737,2076.759,0.440,0.640,1.247
