Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID90 : ID76),0,90,76,0.017,0.150,75.943,5.814,0,0.432,0.129,None
(ID76 : ID86),0,76,86,0.042,0.600,75.852,5.859,0,0.341,0.205,None
(ID86 : ID100),0,86,100,0.017,1.050,75.760,5.905,0,0.432,0.129,None
(ID100 : ID112),0,100,112,0.034,1.350,75.623,5.859,0,0.610,0.183,None
(ID112 : ID104),0,112,104,0.042,1.650,75.623,5.905,0,0.682,0.205,None
(ID104 : ID96),0,104,96,0.017,1.950,75.669,5.905,0,0.432,0.129,None
(ID96 : ID117),0,96,117,0.134,2.250,75.440,5.859,0,1.221,0.366,None
(ID117 : ID123),0,117,123,0.034,2.550,75.165,5.859,0,0.610,0.183,None
(ID123 : ID125),0,123,125,0.008,2.850,75.119,5.859,0,0.305,0.092,None
(ID125 : ID129),0,125,129,0.008,3.150,75.211,5.859,0,0.305,0.092,None
(ID129 : ID133),0,129,133,0.000,3.450,75.257,5.859,0,0.000,0.000,None
(ID133 : ID136),0,133,136,0.000,3.750,75.257,5.859,0,0.000,0.000,None
(ID136 : ID140),0,136,140,0.017,4.050,75.211,5.814,0,0.432,0.129,None
(ID140 : ID148),0,140,148,0.034,4.350,75.165,5.859,0,0.610,0.183,None
(ID148 : ID157),0,148,157,0.017,4.650,75.211,5.905,0,0.432,0.129,None
(ID157 : ID152),0,157,152,0.008,4.950,75.211,5.859,0,0.305,0.092,None
(ID152 : ID165),0,152,165,0.034,5.250,75.073,5.859,0,0.610,0.183,None
(ID165 : ID176),0,165,176,0.017,5.550,74.936,5.905,0,0.432,0.129,None
(ID176 : ID187),0,176,187,0.008,5.850,74.936,5.951,0,0.305,0.092,None
(ID187 : ID182),0,187,182,0.000,6.150,74.982,5.951,0,0.000,0.000,None
(ID182 : ID192),0,182,192,0.008,6.450,74.936,5.951,0,0.305,0.092,None
(ID192 : ID198),0,192,198,0.008,6.750,74.936,5.951,0,0.305,0.092,None
(ID198 : ID204),0,198,204,0.109,7.050,75.119,5.859,0,1.100,0.330,None
(ID204 : ID210),0,204,210,0.017,7.350,75.211,5.814,0,0.432,0.129,None
(ID210 : ID219),0,210,219,0.017,7.650,75.211,5.905,0,0.432,0.129,None
(ID219 : ID222),0,219,222,0.042,7.950,75.211,5.859,0,0.682,0.205,None
(ID222 : ID226),0,222,226,0.008,8.250,75.165,5.814,0,0.305,0.092,None
(ID226 : ID231),0,226,231,0.008,8.550,75.211,5.859,0,0.305,0.092,None
(ID231 : ID237),0,231,237,0.008,8.850,75.257,5.814,0,0.305,0.092,None
(ID237 : ID240),0,237,240,0.008,9.150,75.257,5.814,0,0.305,0.092,None
