Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID90,90,0,2130.215,75.989,5.859,0,0.000,0,0.250,1,-10921639,5205.162,4318,1361,11427,192591,2785.876,0.441,0.487,1.224
ID76,76,0,1559.514,75.897,5.768,0,0.300,1,0.250,1,-10921639,4531.865,4244,958,10417,167679,2344.876,0.200,0.354,1.010
ID86,86,0,2094.523,75.806,5.951,0,0.900,3,0.250,1,-10921639,5716.486,5478,1435,12436,211510,2845.164,0.200,0.391,1.130
ID100,100,0,2342.776,75.714,5.859,0,1.200,4,0.250,1,-10921639,6144.486,5888,2670,11002,227346,2288.192,0.441,0.456,1.681
ID112,112,0,1725.656,75.531,5.859,0,1.500,5,0.250,1,-10921639,4614.865,4540,720,9696,170750,2367.855,0.440,0.414,1.141
ID104,104,0,1562.073,75.714,5.951,0,1.800,6,0.250,1,-10921639,4537.135,4306,1342,10040,167874,2113.801,0.442,0.405,1.238
ID96,96,0,2665.700,75.623,5.859,0,2.100,7,0.250,1,-10921639,6933.865,7129,2021,12493,256553,2824.654,0.441,0.476,1.583
ID117,117,0,2363.168,75.257,5.859,0,2.400,8,0.250,1,-10921639,6924.595,6492,2098,13329,256210,2826.173,0.440,0.378,1.345
ID123,123,0,3266.332,75.073,5.859,0,2.700,9,0.250,1,-10921639,7840.405,6946,2426,18287,290095,4130.104,0.441,0.530,1.315
ID125,125,0,2724.482,75.165,5.859,0,3.000,10,0.250,1,-10921639,7377.243,6811,3137,16435,272958,3441.509,0.440,0.445,1.320
ID129,129,0,5078.010,75.257,5.859,0,3.300,11,0.250,1,-10921639,9791.189,7634,1951,28132,362274,7086.076,0.200,0.702,1.140
ID133,133,0,4013.388,75.257,5.859,0,3.600,12,0.250,1,-10921639,8442.432,6316,1946,21372,312370,5289.775,0.200,0.581,1.173
ID136,136,0,3698.654,75.257,5.859,0,3.900,13,0.250,1,-10921639,9052.514,8630,2726,16712,334943,3753.351,0.441,0.486,1.578
ID140,140,0,3558.573,75.165,5.768,0,4.200,14,0.250,1,-10921639,8746.595,7951,1349,21099,323624,4982.109,0.200,0.506,1.179
ID148,148,0,2700.832,75.165,5.951,0,4.500,15,0.250,1,-10921639,6946.973,6709,2516,14007,257038,3157.043,0.440,0.463,1.394
ID157,157,0,3485.091,75.257,5.859,0,4.800,16,0.250,1,-10921639,8280.892,6058,3287,18678,306393,4554.214,0.200,0.491,1.198
ID152,152,0,2568.919,75.165,5.859,0,5.100,17,0.250,1,-10921639,6431.676,6131,1855,14393,237972,3335.901,0.200,0.435,1.170
ID165,165,0,1667.091,74.982,5.859,0,5.400,18,0.250,1,-10921639,5512.541,5330,1833,11095,203964,2323.040,0.442,0.308,1.116
ID176,176,0,2160.066,74.890,5.951,0,5.700,19,0.250,1,-10921639,5906.054,4979,2038,13335,218524,3062.816,0.200,0.374,1.050
ID187,187,0,3293.191,74.982,5.951,0,6.000,20,0.250,1,-10921639,8171.568,6568,2246,19374,302348,4499.136,0.200,0.486,1.188
ID182,182,0,2487.573,74.982,5.951,0,6.300,21,0.250,1,-10921639,7355.703,7415,2578,12355,272161,2528.809,0.442,0.413,1.702
ID192,192,0,3208.177,74.890,5.951,0,6.600,22,0.250,1,-10921639,8003.568,6763,2157,18367,296132,4406.878,0.200,0.442,1.113
ID198,198,0,1973.494,74.982,5.951,0,6.900,23,0.250,1,-10921639,5961.324,5377,2349,11454,220569,2461.422,0.440,0.357,1.274
ID204,204,0,1715.924,75.257,5.768,0,7.200,24,0.250,1,-10921639,5808.649,5987,2571,9380,214920,1829.395,0.441,0.318,1.533
ID210,210,0,3217.758,75.165,5.859,0,7.500,25,0.250,1,-10921639,7718.432,6530,2879,16913,285582,4032.548,0.440,0.508,1.289
ID219,219,0,1525.007,75.257,5.951,0,7.800,26,0.250,1,-10921639,5254.757,5018,1958,8513,194426,1718.813,0.442,0.327,1.508
ID222,222,0,3011.789,75.165,5.768,0,8.100,27,0.250,1,-10921639,6823.216,5741,1962,17593,252459,4058.502,0.200,0.524,1.157
