"","trackid","countzerov","totalspots","percentage"
"1",6,3,20,15
"2",10,3,46,6.52173913043478
"3",11,0,24,0
"4",12,0,30,0
"5",19,2,30,6.66666666666667
"6",20,9,44,20.4545454545455
"7",23,3,27,11.1111111111111
"8",26,5,28,17.8571428571429
"9",27,1,25,4
"10",28,1,23,4.34782608695652
"11",31,2,25,8
"12",33,3,24,12.5
"13",42,0,27,0
"14",43,0,30,0
"15",46,0,26,0
"16",47,7,50,14
"17",52,4,50,8
"18",59,0,22,0
"19",60,1,17,5.88235294117647
"20",63,0,16,0
"21",64,1,23,4.34782608695652
"22",68,6,59,10.1694915254237
"23",73,0,23,0
"24",85,0,29,0
"25",94,12,57,21.0526315789474
"26",95,0,21,0
"27",96,0,19,0
"28",107,0,17,0
"29",110,1,35,2.85714285714286
"30",111,2,17,11.7647058823529
"31",116,2,22,9.09090909090909
"32",121,1,23,4.34782608695652
"33",124,1,23,4.34782608695652
"34",129,0,18,0
"35",142,3,22,13.6363636363636
"36",148,0,17,0
"37",155,2,27,7.40740740740741
"38",157,1,22,4.54545454545455
"39",162,1,35,2.85714285714286
"40",168,6,28,21.4285714285714
"41",173,13,49,26.530612244898
"42",179,1,18,5.55555555555556
"43",181,1,20,5
"44",189,1,26,3.84615384615385
"45",194,4,44,9.09090909090909
"46",196,3,16,18.75
"47",208,3,30,10
"48",212,4,33,12.1212121212121
"49",215,1,17,5.88235294117647
"50",216,1,18,5.55555555555556
"51",224,1,24,4.16666666666667
"52",240,0,24,0
"53",241,13,52,25
"54",244,0,21,0
"55",263,1,16,6.25
"56",277,3,23,13.0434782608696
"57",286,8,31,25.8064516129032
"58",291,1,30,3.33333333333333
"59",302,4,21,19.047619047619
"60",305,1,19,5.26315789473684
