"","x","freq"
"1",0,56
"2",0.545,51
"3",1.09,42
"4",1.635,44
"5",2.18,59
"6",2.725,59
"7",3.27,57
"8",3.815,56
"9",4.36,47
"10",4.905,54
"11",5.45,48
"12",5.995,48
"13",6.54,45
"14",7.085,43
"15",7.63,34
"16",8.175,40
"17",8.72,39
"18",9.265,39
"19",9.81,36
"20",10.355,45
"21",10.9,48
"22",11.445,38
"23",11.99,36
"24",12.535,39
"25",13.08,40
"26",13.625,33
"27",14.17,36
"28",14.715,36
"29",15.26,25
"30",15.805,28
"31",16.35,30
"32",16.895,33
"33",17.44,28
"34",17.985,25
"35",18.53,22
"36",19.075,32
"37",19.62,28
"38",20.165,28
"39",20.71,33
"40",21.255,30
"41",21.8,26
"42",22.345,31
"43",22.89,31
"44",23.435,28
"45",23.98,27
"46",24.525,34
"47",25.07,28
"48",25.615,31
"49",26.16,26
"50",26.705,26
"51",27.25,28
"52",27.795,26
"53",28.34,29
"54",28.885,24
"55",29.43,18
"56",29.975,30
"57",30.52,24
"58",31.065,30
"59",31.61,22
"60",32.155,23
"61",32.7,22
"62",33.245,20
"63",33.79,17
"64",34.335,31
"65",34.88,24
"66",35.425,23
"67",35.97,20
"68",36.515,25
"69",37.06,21
"70",37.605,26
"71",38.15,21
"72",38.695,24
"73",39.24,21
"74",39.785,17
"75",40.33,22
"76",40.875,18
"77",41.42,19
"78",41.965,15
"79",42.51,19
"80",43.055,14
"81",43.6,24
"82",44.145,14
"83",44.69,10
"84",45.235,15
"85",45.78,22
"86",46.325,15
"87",46.87,16
"88",47.415,17
"89",47.96,16
"90",48.505,17
"91",49.05,16
"92",49.595,13
"93",50.14,20
"94",50.685,16
"95",51.23,16
"96",51.775,15
"97",52.32,10
"98",52.865,18
"99",53.41,11
"100",53.955,13
"101",54.5,18
"102",55.045,17
"103",55.59,19
"104",56.135,17
"105",56.68,15
"106",57.225,21
"107",57.77,20
"108",58.315,17
"109",58.86,18
"110",59.405,18
"111",59.95,18
"112",60.495,16
"113",61.04,16
"114",61.585,17
"115",62.13,11
"116",62.675,13
"117",63.22,11
"118",63.765,13
"119",64.31,8
"120",64.855,13
"121",65.4,10
"122",65.945,13
"123",66.49,10
"124",67.035,9
"125",67.58,7
"126",68.125,11
"127",68.67,4
"128",69.215,10
"129",69.76,6
"130",70.305,10
"131",70.85,7
"132",71.395,10
"133",71.94,7
"134",72.485,9
"135",73.03,8
"136",73.575,9
"137",74.12,9
"138",74.665,10
"139",75.21,9
"140",75.755,11
"141",76.3,10
"142",76.845,11
"143",77.39,10
"144",77.935,7
"145",78.48,10
"146",79.025,13
"147",79.57,10
"148",80.115,15
"149",80.66,8
"150",81.205,12
"151",81.75,11
"152",82.295,13
"153",82.84,10
"154",83.385,8
"155",83.93,6
"156",84.475,9
"157",85.02,11
"158",85.565,8
"159",86.11,11
"160",86.655,12
"161",87.2,13
"162",87.745,14
"163",88.29,7
"164",88.835,9
"165",89.38,11
"166",89.925,12
