"","x","freq"
"1",0,4
"2",0.3,7
"3",0.6,3
"4",0.9,4
"5",1.2,5
"6",1.5,3
"7",1.8,9
"8",2.1,4
"9",2.4,6
"10",2.7,1
"11",3,4
"12",3.3,4
"13",3.6,4
"14",3.9,4
"15",4.2,6
"16",4.5,4
"17",4.8,7
"18",5.1,4
"19",5.4,11
"20",5.7,7
"21",6,3
"22",6.3,6
"23",6.6,7
"24",6.9,4
"25",7,1
"26",7.2,7
"27",7.5,9
"28",7.8,2
"29",8.1,3
"30",8.4,6
"31",8.7,5
"32",9,2
"33",9.3,4
"34",9.6,3
"35",9.9,9
"36",10.2,3
"37",10.5,2
"38",10.8,3
"39",11.1,5
"40",11.4,4
"41",11.7,4
"42",12,5
"43",12.3,5
"44",12.6,6
"45",12.9,5
"46",13.2,9
"47",13.5,2
"48",13.8,3
"49",14.1,2
"50",14.4,5
"51",14.7,6
"52",15,7
"53",15.3,6
"54",15.6,5
"55",15.9,4
"56",16.2,2
"57",16.5,5
"58",16.8,7
"59",17.1,4
"60",17.4,2
"61",17.7,8
"62",18,8
"63",18.3,3
"64",18.6,6
"65",18.9,3
"66",19.2,2
"67",19.5,4
"68",19.8,3
"69",20.1,3
"70",20.4,8
"71",20.7,2
"72",21,5
"73",21.3,4
"74",21.6,4
"75",21.9,4
"76",22.2,6
"77",22.5,9
"78",22.8,3
"79",23.1,5
"80",23.4,4
"81",23.7,5
"82",24,2
"83",24.3,3
"84",24.6,5
"85",24.9,5
"86",25.2,4
"87",25.5,5
"88",25.8,4
"89",26.1,1
"90",26.4,10
"91",26.7,2
"92",27,5
"93",27.3,2
"94",27.6,3
"95",27.9,1
"96",28.2,5
"97",28.5,3
"98",28.8,7
"99",29.1,2
"100",29.4,1
"101",29.7,2
"102",30,3
"103",30.3,3
"104",30.6,2
"105",30.9,4
"106",31.2,1
"107",31.5,5
"108",31.8,3
"109",32.1,4
"110",32.4,3
"111",32.7,1
"112",33,2
"113",33.3,1
"114",33.6,1
"115",33.9,1
"116",34.2,6
"117",34.5,4
"118",34.8,6
"119",35.1,3
"120",35.4,6
"121",35.7,2
"122",36,3
"123",36.6,4
"124",36.9,4
"125",37.2,2
"126",37.5,2
"127",37.8,1
"128",38.1,4
"129",38.7,2
"130",39,3
"131",39.3,3
"132",39.6,4
"133",39.9,5
"134",40.2,5
"135",40.5,2
"136",40.8,4
"137",41.1,1
"138",41.4,1
"139",41.7,6
"140",42,2
"141",42.3,1
"142",42.6,6
"143",42.9,3
"144",43.2,4
"145",43.5,1
"146",43.8,3
"147",44.1,2
"148",44.4,5
"149",44.7,2
"150",45,3
"151",45.3,2
"152",45.6,2
"153",45.9,2
"154",46.2,6
"155",46.5,4
"156",46.8,2
"157",47.1,4
"158",47.4,1
"159",47.7,3
"160",48,1
"161",48.3,2
"162",48.6,3
"163",48.9,1
"164",49.2,3
"165",49.5,6
"166",49.8,2
"167",50.1,2
"168",50.4,1
"169",50.7,2
"170",51,1
"171",51.3,4
"172",51.6,1
"173",51.9,1
"174",52.2,3
"175",52.5,2
"176",52.8,3
"177",53.1,4
"178",53.4,3
"179",53.7,4
"180",54,3
"181",54.3,1
"182",54.6,6
"183",54.9,2
"184",55.2,4
"185",55.5,5
"186",55.8,2
"187",56.1,6
"188",56.4,8
"189",56.7,2
"190",57,10
"191",57.3,4
"192",57.6,4
"193",57.9,1
"194",58.2,6
"195",58.5,5
"196",58.8,5
"197",59.1,7
"198",59.4,4
"199",59.7,10
"200",60,5
"201",60.3,6
"202",60.6,6
"203",60.9,5
"204",61.2,6
"205",61.5,5
"206",61.8,8
"207",62.1,11
"208",62.4,6
"209",62.7,5
"210",63,4
"211",63.3,7
"212",63.6,2
"213",63.9,6
"214",64.2,7
"215",64.5,5
"216",64.8,5
"217",65.1,3
"218",65.4,9
"219",65.7,3
"220",66,7
"221",66.3,3
"222",66.6,5
"223",66.9,1
"224",67.2,5
"225",67.5,4
"226",67.8,5
"227",68.1,7
"228",68.4,6
"229",68.7,7
"230",69,3
"231",69.3,5
"232",69.6,7
"233",69.9,5
"234",70.2,1
"235",70.5,3
"236",70.8,6
"237",71.1,2
"238",71.4,6
"239",71.7,2
"240",72,3
"241",72.3,4
"242",72.6,4
"243",72.9,5
"244",73.2,3
"245",73.5,15
"246",73.8,2
"247",74,1
"248",74.1,6
"249",74.4,2
"250",74.7,3
"251",75,5
"252",75.3,1
"253",75.6,3
"254",75.9,2
"255",76.2,3
"256",76.5,3
"257",76.8,4
"258",77.1,2
"259",77.4,3
"260",77.7,2
"261",78,1
"262",78.3,2
"263",78.6,3
"264",78.9,6
"265",79.2,5
"266",79.5,1
"267",79.8,5
"268",80.1,5
"269",80.4,4
"270",80.7,1
"271",81,4
"272",81.3,2
"273",81.6,6
"274",81.9,5
"275",82.2,2
"276",82.5,3
"277",82.8,2
"278",83.1,4
"279",83.4,7
"280",83.7,3
"281",84,8
"282",84.3,9
"283",84.6,1
"284",84.9,4
"285",85.2,2
"286",85.5,7
"287",85.8,6
"288",86.1,5
"289",86.4,2
"290",86.7,4
"291",87,3
"292",87.3,5
"293",87.6,4
"294",87.9,7
"295",88.2,5
"296",88.5,12
"297",88.8,5
"298",89.1,8
"299",120,1
"300",121,1
"301",124,1
"302",217,1
"303",223,1
"304",237,1
"305",240,1
"306",289,1
"307",291,1
